opera,year,composer,librettist,city,country
Ale,1730,Vinci,M,Rome,Italy
Ale,1755,Galuppi,M,Venice,Italy
Dem,1733,Caldara,M,Vienna,Empire
Dem,1734,Schiassi,M,Venice,Italy
Dem,1735,Leo,M,Naples,Italy
Dem,1735,Mancini,M,Naples,Italy
Dem,1735,Sarro,M,Naples,Italy
Dem,1737,Schiassi,M,Venice,Italy
Dem,1743,Gluck,M,Milan,Italy
Dem,1743,Jommelli,M,Padova,Italy
Dem,1746,Graun,M,Berlin,Empire
Dem,1748,Hasse,M,Dresden,Empire
Dem,1749,Galuppi,M,Madrid,Spain
Dem,1752,Perez,M,Lisbon,Portugal
Dem,1753,Jommelli,M,Milan,Italy
Dem,1754,Manna,M,Turin,Italy
Dem,1758,Ferradini,M,Milan,Italy
Dem,1758,Galuppi,M,Padova,Italy
Dem,1758,Hasse,M,Naples,Italy
Dem,1761,Piccinni,X,Reggio Emilia,Italy
Dem,1764,Jommelli,M,Stuttgart,Empire
Dem,1766,Bernasconi,M,Munich,Empire
Dem,1770,Jommelli,M,Naples,Italy
Dem,1771,Sarti,M,Copenhagen,Denmark
Dem,1775,Myslivecek,M,Naples,Italy
Dem,1776,Monza,M,Alessandria,Italy
Dem,1790,Errichelli,M,,
Did,,Galuppi,M,,
Did,,Wagenseil,M,,
Did,1724,Sarro,M,Naples,Italy
Did,1726,Vinci,M,Rome,Italy
Did,1730,Sarro,M,Naples,Italy
Did,1735,Mancini,M,Naples,Italy
Did,1739,Lampugnani,m,Padova,Italy
Did,1741,Bernasconi,M,Venice,Italy
Did,1742,Hasse,M,Wermsdorf,Empire
Did,1743,Terradellas,X,Rome,Italy
Did,1744,Scalabrini,M,Hamburg,Empire
Did,1747,Jommelli,M,Rome,Italy
Did,1749,Jommelli,M,Vienna,Empire
Did,1750,Viotti,M,,
Did,1753,Perez,M,1751,Perez
Did,1760,Bernasconi,M,Venice,Italy
Did,1762,Sarti,M,Copenhagen,Denmark
Did,1763,Jommelli,X,Stuttgart,Empire
Did,1763,Traetta,M,Venice,Italy
Did,1764,Galuppi,M,Venice,Italy
Did,1768,Boroni,X,Prague,Empire
Did,1769,Majo,X,Venice,Italy
Did,1770,Piccinni,M,Rome,Italy
Did,1775,Anfossi,M,Venice,Italy
Did,1776,Schuster,M,Naples,Italy
Did,1780,Astarita,X,Bratislava,Empire
Did,1788,Andreozzi,M,,
Did,1794,Paisiello,X,Naples,Italy
Did,1810,Paer,X,Paris,France
